title,features
The Drowning Pool,Lew Harper Collection Drama Mystery Thriller Stuart Rosenberg David Foster Productions Turman-Foster Company First Artists Coleytown United States of America
Saw V,Saw Collection Horror Thriller Crime David Hackl Lionsgate Twisted Pictures United States of America
Cadillac Records, Drama History Music Darnell Martin Parkwood Entertainment United States of America
Six in Paris, Comedy Drama Jean-Luc Godard Claude Chabrol Éric Rohmer Jean-Daniel Pollet Jean Rouch Jean Douchet Les Films du Losange Les Filmes du Cyprès France
Brotherhood of Death, Action Drama Bill Berry International Film Consortium Bellwether Films Berwether Inc. United States of America
Ip Man,Ip Man Collection Drama Action History Wilson Yip Mandarin Films Distribution Co. Hong Kong
Fuel, Drama Oktay Ortabasi  
Belle of the Nineties, Drama Comedy Leo McCarey Paramount Pictures United States of America
Funny People, Comedy Drama Judd Apatow Columbia Pictures Universal Pictures Happy Madison Productions Relativity Media Apatow Productions Madison 23 United States of America
Two Men in Manhattan, Crime Drama Mystery Thriller Jean-Pierre Melville  France
Blue Steel, Action Western Robert N. Bradbury  United States of America
The Small Back Room, War Drama Thriller Emeric Pressburger Michael Powell London Film Productions The Archers United Kingdom
Fraternity Demon, Comedy C.B. Rubin  
Up, Animation Comedy Family Adventure Pete Docter Pixar Animation Studios United States of America
Trojan War, Comedy George Huang Daybreak Pictures Warner Bros. United States of America
Ricky Rapper, Comedy Family Music Foreign  Kinotar Finland
The Stoning of Soraya M., Crime Drama Cyrus Nowrasteh Roadside Attractions Mpower Pictures Prime Meridian Pctures Fallen Films United States of America
(500) Days of Summer, Comedy Drama Romance Marc Webb Fox Searchlight Pictures Watermark Dune Entertainment III United States of America
Through the Olive Trees,Koker Trilogy Drama Abbas Kiarostami Ciby 2000 Abbas Kiarostami Productions Farabi Cinema Foundation Iran France
The Group, Drama Sidney Lumet Famartists Productions S.A. United States of America
Jonathan Livingston Seagull, Drama Family Science Fiction Hall Bartlett Paramount Pictures United States of America
"A Time to Live, a Time to Die", Drama Hou Hsiao-hsien Central Motion Pictures Corporation Taiwan
Stone of Destiny, Drama Adventure Crime Charles Martin Smith  Canada United Kingdom
Vacancy 2: The First Cut,Vacancy Collection Horror Thriller Eric Bross Stage 6 Films United States of America
Witch Hunt, Documentary Crime Don Hardy Jr. Dana Nachman  United States of America
Valentino: The Last Emperor, Documentary Matt Tyrnauer Acolyte Films United States of America
Laid to Rest,Laid to Rest Collection Thriller Horror Robert Hall Dry County Films United States of America
Still Walking, Drama Family Hirokazu Koreeda Bandai Visual Company Eisei Gekijo TV Man Union Cinequanon Engine Film Group Japan
"The Pit, the Pendulum and Hope", Animation Horror Mystery Jan Švankmajer Krátký Film Praha 
The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks, Adventure Comedy Lev Kuleshov Goskino Russia
23 Paces to Baker Street, Crime Mystery Thriller Henry Hathaway Twentieth Century Fox Film Corporation United States of America
Big Fan, Comedy Drama Robert D. Siegel Big Fan Productions United States of America
The Lusty Men, Action Drama Western Nicholas Ray Robert Parrish Wald/Krasna Productions United States of America
Our Daily Bread, Documentary Foreign Nikolaus Geyrhalter 3sat Nikolaus Geyrhalter Filmproduktion Österreichischer Rundfunk (ORF) Zweites Deutsches Fernsehen (ZDF) Filmfonds Wien Österreichisches Filminstitut Austria Germany
Cell 211, Action Thriller Drama Daniel Monzón Telecinco Cinema Canal+ Vaca Films La Fabrique 2 Morena Films Sofica Soficinéma 4 France Spain
Hoop Reality,  Lee Davis  
Asylum, Horror Science Fiction David R. Ellis Hyde Park Films Mad Scientist Productions United States of America
Planet 51, Science Fiction Animation Family Comedy Adventure Jorge Blanco Javier Abad Marcos Martínez TriStar Pictures Ilion Animation Studios Hand Made Films Spain United Kingdom United States of America
Invaders from Mars, Mystery Science Fiction Horror Tobe Hooper Cannon Pictures United States of America
Trapeze, Drama Carol Reed Joanna Productions United States of America
Agent Red, Action Thriller Jim Wynorski Damian Lee  United States of America
10 MPH, Documentary Hunter Weeks  
Hidden Agenda, Action Thriller Marc S. Grenier Dream Rock EGM Productions Cinequest Films Canada
Asterix at the Olympic Games,Asterix and Obelix Collection Fantasy Adventure Comedy Family Thomas Langmann Frédéric Forestier Constantin Film TF1 Films Productions Pathé Renn Productions La Petite Reine Tri Pictures Sorolla Films Novo RPI Canal+ uFilm Canal+ España Le Tax Shelter du Gouvernement Fédéral de Belgique Les Editions Albert René Belgium France Germany Italy Spain
Désirée, Drama Romance Henry Koster Twentieth Century Fox Film Corporation United States of America
The Secret of Santa Vittoria, Comedy Drama War Stanley Kramer Stanley Kramer Productions United States of America
Killer Bean 2: The Party,  Jeff Lew  
Possession, Drama Thriller Romance Joel Bergvall Simon Sandquist Vertigo Entertainment Yari Film Group Spitfire Pictures Addicted Productions United States of America
Flesh and the Devil, Drama Romance Clarence Brown Metro-Goldwyn-Mayer (MGM) United States of America
Dark Mirror, Horror Thriller Pablo Proenza Cut Glass Productions LLC United States of America
Air Doll, Drama Hirokazu Koreeda Bandai Visual Company (JAPAN) Engine Films Asmik Ace Entertainment Eisei Gekijo TV Man Union Japan
Peacock, Mystery Thriller Michael Lander Lionsgate United States of America
The Roman Spring of Mrs. Stone, Drama Romance José Quintero Seven Arts Productions Warner Bros. United States of America
The Silent Partner, Crime Drama Thriller Daryl Duke Carolco Pictures Canada
LEGO: The Adventures of Clutch Powers, Action Adventure Animation Family Howard E. Baker Threshold Animation Studios United States of America
The Losers, Action Adventure Crime Mystery Thriller Sylvain White DC Comics Weed Road Pictures Dark Castle Entertainment Warner Bros. DC Entertainment United States of America
Julia Sweeney - Letting Go of God," Comedy Documentary Julia Sweeney Five Sisters Productions Indefatigable, Inc. United States of America"
Cargo, Thriller Mystery Science Fiction Ivan Engler Ralph Etter Telepool Atlantis Pictures Schweizerische Radio- und Fernsehgesellschaft (SRG) Ascot Elite Entertainment Group Egli Film Teleclub AG Centauri Media Switzerland
American Gothic, Horror John Hough  
Buried, Drama Thriller Mystery Rodrigo Cortés Studio 37 Versus Entertainment The Safran Company Dark Trick Films Spain United States of America France
Hoffman, Comedy Drama Romance Alvin Rakoff Associated British Picture Corporation (ABPC) United Kingdom
Reunion, Drama War Jerry Schatzberg  
Gigot, Drama Gene Kelly Seven Arts Productions United States of America
The Ashes, War Drama Andrzej Wajda Film Polski Poland
24: Redemption, Action Adventure Crime Jon Cassar Imagine Television Teakwood Lane Productions Real Time Productions United States of America South Africa
Dead Air, Horror Science Fiction Thriller Corbin Bernsen Team Cherokee Productions Antibody Films United States of America
Gumshoe, Drama Comedy Crime Mystery Thriller Stephen Frears Columbia Pictures Corporation Memorial Enterprises United Kingdom
Mammy, Music Comedy Michael Curtiz Warner Bros. United States of America
Mr. Nobody, Science Fiction Drama Romance Fantasy Jaco Van Dormael Pan Européenne Production Virtual Films Belgium Canada France Germany
Deadly Outlaw: Rekka, Action Drama Foreign Thriller Takashi Miike  Japan
Lucky, Comedy Documentary Romance Jeffrey Blitz  United States of America
The Mating Season, Comedy Mitchell Leisen Paramount Pictures United States of America
Retribution, Crime Drama Foreign Horror Mystery Science Fiction Thriller Kiyoshi Kurosawa Tokyo Broadcasting System Japan
Dirty Ho, Action Comedy Foreign Liu Chia-Liang Shaw Brothers Hong Kong
Machete,Machete Collection Action Comedy Thriller Robert Rodriguez Ethan Maniquis Dune Entertainment Dune Entertainment III Troublemaker Studios Overnight Films United States of America
Tere Naam, Romance Thriller Satish Kaushik People Tree Films India
The Hedgehog, Comedy Drama Mona Achache France 2 Cinéma Les Films des Tournelles Pathé Eagle Pictures Italy France
Wife! Be Like a Rose!, Drama Mikio Naruse P.C.L. Film Studio Japan
M, Drama Thriller Joseph Losey Superior Pictures United States of America
Doppelganger, Comedy Horror Science Fiction Thriller Kiyoshi Kurosawa Twins Japan Warner Bros. Sato Atsushi Towani Corp. Japan
All Good Things, Drama Mystery Thriller Crime Romance Andrew Jarecki The Weinstein Company United States of America
Black Sheep, Comedy Foreign Oliver Rihs Oliwood Productions koboiFILM Germany
Stalin, Drama History War Ivan Passer Home Box Office (HBO) Novofilm Magyar Televízió Müvelödési Föszerkesztöség (MTV) (I) Russia Hungary
The North Star," Action Adventure Drama Lewis Milestone Samuel Goldwyn Company, The United States of America"
Last Night, Drama Romance Massy Tadjedin Gaumont Nick Wechsler Productions Star Entertainment France United States of America
Russell Peters: Outsourced, Comedy Alan C. Blomquist Warner Bros. United States of America
Message from Space, Action Adventure Science Fiction Kinji Fukasaku United Artists Toei Company Tohokushinsha Film Corporation (TFC) Japan
Christmas Holiday, Drama Crime Robert Siodmak Universal Pictures United States of America
Thirty-Five Something, Comedy Cécile Telerman La Mouche du Coche Films Belgium France
From Prada to Nada, Comedy Drama Romance Angel Gracia Lewis Gilbert Productions Lionsgate Modern VideoFilm United States of America
Tongan Ninja, Action Comedy Foreign Jason Stutter  New Zealand
Client 9: The Rise and Fall of Eliot Spitzer, Documentary Alex Gibney  
Submarino, Drama Thomas Vinterberg Nimbus Film Productions Denmark
Hideaway (Le refuge), Drama François Ozon Le Pacte France
Scooby-Doo! The Mystery Begins,Scooby-Doo Collection Mystery Animation Comedy Fantasy Brian Levant Warner Premiere Canada United States of America
For Love of Ivy, Comedy Drama Romance Daniel Mann Cinerama Productions Corp. Palomar Pictures (I) ABC Pictures International United States of America
Smilin' Through, Drama Romance Sidney Franklin Metro-Goldwyn-Mayer (MGM) United States of America
Casanova Brown, Comedy Sam Wood International Pictures United States of America
Black Bread, Drama Crime Agustí Villaronga Televisió de Catalunya TV3 Massa d'Or Produccions Spain
White Hell of Pitz Palu, Drama G.W. Pabst Arnold Fanck Sokal-Film GmbH Germany
A Good Lawyer's Wife, Drama Crime Im Sang-soo  South Korea
Kill the Irishman, Action Crime Thriller Drama Jonathan Hensleigh Anchor Bay Films Dundee Entertainment Code Entertainment Sweet William Productions United States of America
The Asthenic Syndrome, Drama Kira Muratova Odessa Film Studios Goskino Ukraine
Vääpeli Körmy - Taisteluni,Vääpeli Körmy - Collection  Ere Kokkonen  
Suez, Drama History Romance Allan Dwan Twentieth Century Fox Film Corporation United States of America
Hand Gun, Crime Action Thriller Whitney Ransick Shooting Gallery Odessa Motion Picture Corp. United States of America
The Pelican Man,  Liisa Helminen  
Apart from You, Drama Mikio Naruse Shochiku Company Japan
On the Riviera, Comedy Music Romance Walter Lang Twentieth Century Fox Film Corporation United States of America
Cyberbully, Drama Charles Binamé Muse Entertainment Enterprises Canada
Bolivia, Drama Foreign Adrián Caetano  Argentina Netherlands
The Messengers 2: The Scarecrow,The Messengers Collection Horror Martin Barnewitz Ghost House Pictures United States of America
Boys, Drama Nils Malmros Steen Herdel Filmproduktion EBC Films Denmark
Birdemic: Shock and Terror,Birdemic Collection Horror Science Fiction James Nguyen  United States of America
Contagion, Drama Thriller Science Fiction Steven Soderbergh Double Feature Films Regency Enterprises Warner Bros. Participant Media Imagenation Abu Dhabi FZ United States of America United Arab Emirates
Film Is a Girl & a Gun, Drama Gustav Deutsch  
In Vanda's Room, Drama Pedro Costa Pandora Filmproduktion Instituto Português da Arte Cinematográfica e Audiovisual (IPACA) Contracosta Produções Portugal Switzerland Germany
Ghost from the Machine, Thriller Science Fiction Matt Osterman  
Portrait Werner Herzog, Documentary Werner Herzog Werner Herzog Filmproduktion Germany
Mystics in Bali, Mystery Horror H. Tjut Djalil Video Tape Corp. Pusat Perusahaan Film Australia Indonesia
Blondie Knows Best,Blondie Collection Comedy Abby Berlin  United States of America
American Son, Drama Neil Abramson  
Dream House, Drama Thriller Mystery Jim Sheridan Cliffjack Motion Pictures Morgan Creek Productions Canada United States of America
Election Day,  Katy Chevigny  
The People vs. George Lucas, Documentary Alexandre O. Philippe  
Espion(s), Drama Romance Thriller Nicolas Saada France 2 Cinéma Mars Distribution The Film Studio 37 France United Kingdom
Million Dollar Legs, Comedy Edward F. Cline Paramount Pictures United States of America
The Descendants, Comedy Drama Alexander Payne Fox Searchlight Pictures Dune Entertainment Ad Hominem Enterprises United States of America
The Uninvited, Mystery Drama Horror Larry Shaw  United States of America
À l'aventure, Drama Jean-Claude Brisseau Moby Dick Films Soficinéma 3 La Sorcière Rouge France
Carmen Comes Home, Comedy Keisuke Kinoshita Shochiku Company Japan
Contact High, Comedy Michael Glawogger LOTUS Film GmbH für ORF Austria Germany Luxembourg Poland
The Human Centipede 2 (Full Sequence),The Human Centipede Collection Drama Horror Crime Tom Six Six Entertainment United Kingdom Netherlands
Praise, Drama John Curran Emcee Films Australia
Becoming Chaz, Documentary Fenton Bailey Randy Barbato  
Barbie in the Nutcracker, Animation Family Owen Hurley Rainmaker Entertainment Canada
Safe House, Action Thriller Daniel Espinosa Universal Pictures Dentsu Relativity Media Bluegrass Films United States of America
Resurrect Dead: The Mystery of the Toynbee Tiles, Documentary Jon Foy  
Romantics Anonymous, Drama Comedy Romance Jean-Pierre Améris Angoa-Agicoa Procirep France 3 Cinéma StudioCanal Rhône-Alpes Cinéma Canal+ CinéCinéma Pan-Européenne France Télévision Cinémage 4 Radio Télévision Belge Francophone (RTBF) Climax Films Le Tax Shelter du Gouvernement Fédéral de Belgique Casa Kafka Pictures La Banque Postale Image 3 Centre National de la Cinématographie (CNC) Uni Étoile 7 Media Programme of the European Community Dexia Movie Tax Shelter Empowered by Dexia Belgium France
Silent House, Horror Mystery Chris Kentis Laura Lau Elle Driver Tazora Films France United States of America
Mirror Mirror, Adventure Fantasy Drama Comedy Science Fiction Family Tarsem Singh Relativity Media Misher Films Yucaipa Films Goldmann Pictures Rat Entertainment Misha Films United States of America
Cord, Crime Drama Thriller Sidney J. Furie  Canada
Brave, Animation Adventure Comedy Family Action Fantasy Brenda Chapman Mark Andrews Steve Purcell Walt Disney Pictures Pixar Animation Studios United States of America
Virtual JFK: Vietnam If Kennedy Had Lived,  Koji Masutani  United States of America
The War, Documentary History War Ken Burns Lynn Novick PBS United States of America
Warning from Space, Science Fiction Koji Shima Daiei Studios Japan
The President's Man: A Line in the Sand,The President's Man Collection Thriller Drama Action Eric Norris Norris Brothers Entertainment Washo Brothers Entertainment United States of America
I Am Bruce Lee, Documentary Pete McCormack  Canada United States of America
The Heroine, Action Crime Foreign Chu Mu Great Earth Film Company Hong Kong
Diary of a Wimpy Kid: Dog Days,Diary of a Wimpy Kid Collection Comedy Family David Bowers Fox 2000 Pictures United States of America
That's My Boy, Comedy Sean Anders Columbia Pictures Happy Madison Productions Relativity Media United States of America
The Tall Man, Horror Mystery Thriller Pascal Laugier SND Forecast Pictures Iron Ocean Films Radar Films Canada France
"Goke, Body Snatcher from Hell", Horror Science Fiction Thriller Hajime Sato Shôchiku Eiga Japan
7 Below, Horror Kevin Carraway Efish Entertainment Vitamin A Films Silver Moonlight Productions PalmStar Entertainment Barking Fish Entertainment United States of America
The Cool Ones, Comedy Gene Nelson Warner Bros. William Conrad Productions United States of America
Elia Kazan: A Director's Journey,  Richard Schickel  United States of America
Thirst for Love,  Koreyoshi Kurahara  Japan
Pumping Iron II: The Women,Pumping Iron Collection Documentary   
Victor Seastrom,  Gösta Werner  Sweden
Remember the Day, War Drama Romance Henry King Twentieth Century Fox Film Corporation United States of America
Goal! III : Taking On The World,Goal! Collection Drama Andrew Morahan  
Dangerous Liaisons, Drama Romance Hur Jin-Ho   Huaxia Film Distribution Company China Singapore South Korea
A Holiday Engagement, TV Movie Comedy Romance Jim Fall Johnson Production Group Tim Johnson Productions United States of America
Murder on Flight 502, Drama Action Thriller Mystery George McCowan  United States of America
Storage 24, Horror Science Fiction Johannes Roberts Unstoppable Entertainment Medient Studios Big Yellow Films United Kingdom
Yossi,Yossi Collection Drama Romance Eytan Fox Lama Films United King Films Israel
Filming Othello, Documentary Orson Welles  Germany
"Glenn, the Flying Robot", Science Fiction Fantasy Marc Goldstein Singing Trees Entertainment Belgium
Lucy, TV Movie Drama Glenn A. Jordan  
Parker, Action Crime Taylor Hackford SND United States of America
Désiré, Science Fiction Albert Dupontel  
Who Killed Vincent Chin?, Documentary Renee Tajima-Pena Christine Choy  
Which Way Home, Documentary Rebecca Cammisa HBO 
Heroine, Drama Foreign Madhur Bhandarkar  India
Living in Emergency: Stories of Doctors Without Borders, Documentary   
Phantom, Thriller Todd Robinson Trilogy Entertainment Group RCR Media Group Solar Filmworks United States of America
The Great Gatsby, Drama Elliott Nugent Paramount Pictures United States of America
The Task, Horror Alex Orwell After Dark Films United States of America
The Place Beyond the Pines, Drama Crime Derek Cianfrance Sidney Kimmel Entertainment Electric City Entertainment Verisimilitude United States of America
Battle in Outer Space, Science Fiction Ishirô Honda Toho Company Japan
Disconnect, Drama Thriller Henry Alex Rubin Lionsgate Liddell Entertainment LD Entertainment Wonderful Films PLC Exclusive Media Group United States of America
Scary Movie 5,Scary Movie Collection Comedy Malcolm D. Lee Dimension Films United States of America
Airspeed, Adventure Action Robert Tinnell Melenny Productions The Government of Canada Income Tax Credit Program United States of America Canada
The Little Thief, Romance Drama Crime Claude Miller Orly Films France
Night at the Crossroads, Mystery Crime Drama Jean Renoir Europa Films France
Somebody Up There Likes Me, Comedy Bob Byington  
Come Out and Play, Horror Makinov Canana Films Videocine S.A. de C.V. Mexico
No and Me, Drama Zabou Breitman Centre National de la Cinématographie Procirep France 3 Cinéma Epithète Films France Télévision Soficinéma 6 Orange Cinéma Séries La Banque Postale Image 3 France
Fullmetal Alchemist: The Sacred Star of Milos,Fullmetal Alchemist Collection Adventure Fantasy Animation Action Science Fiction Kazuya Murata Tokyo Broadcasting System (TBS) Aniplex Mainichi Broadcasting System (MBS) FUNimation Entertainment Shochiku Company Dentsu Square Enix Bones Japan
The Heat, Action Comedy Crime Paul Feig Ingenious Film Partners Ingenious Media Twentieth Century Fox Film Corporation Chernin Entertainment Big Screen Productions TSG Entertainment United States of America
The Terror Within, Horror Science Fiction Thierry Notz Concorde Pictures United States of America
The Canyons, Thriller Drama Paul Schrader Filmworks/FX Prettybird Post Empire Films Sodium Fox United States of America
The Second Arrival,The Arrival Collection Action Adventure Science Fiction Thriller Kevin Tenney Rootbeer Films Taurus 7 Film Corporation 
Creature with the Atom Brain, Crime Horror Science Fiction Thriller Edward L. Cahn Clover Productions United States of America
Money Matters, Drama Ryan Richmond  United States of America
Enter Nowhere, Mystery Science Fiction Thriller Jack Heller Caliber Media Company United States of America
Journey to Portugal, Romance Drama Sérgio Tréfaut  Portugal
The Little Traitor, Drama Lynn Roth  
Joy of Sex, Comedy Romance Martha Coolidge Paramount Pictures Cinema Group Ventures United States of America
Paradise: Faith,Paradise Trilogy Drama Ulrich Seidl  Austria Germany France
A Gathering of Old Men, Drama Volker Schlöndorff  United States of America
On the Job, Action Crime Erik Matti ABS-CBN Film Productions Star Cinema Productions XYZ Films Reality Entertainment Philippines
Calling Dr. Death,Inner Sanctum mysteries Thriller Mystery Reginald Le Borg Universal Pictures United States of America
Sunshine on Leith, Music Romance Comedy Drama Dexter Fletcher DNA Films United Kingdom
Deep Dark Canyon, Action Drama Thriller Abe Levy Silver Tree Colorfast Pictures Secret Identity Productions United States of America
TWA Flight 800, Documentary Kristina Borjesson Epix United States of America
Amber Alert, Horror Mystery Thriller Kerry Bellessa Underground Films\ United States of America
Painless, Horror Mystery Fantasy Thriller Juan Carlos Medina Ibermedia Eurimages Canal+ Cofimage Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC) Fado Filmes Roxbury Pictures Tobina Film Les Films d'Antoine Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA) A Contracorriente Films France Portugal Spain
Chasing Ghosts: Beyond the Arcade, Documentary Lincoln Ruchti  United States of America
The Flight That Disappeared, Science Fiction Thriller Reginald Le Borg Robert E. Kent Productions United States of America
Once Upon a Scoundrel,  George Schaefer  United States of America Mexico
Tim's Vermeer, Documentary Teller High Delft Pictures United States of America
La rabbia,  Pier Paolo Pasolini Giovanni Guareschi  Italy
Midnight Clear, Drama Dallas Jenkins Jenkins Entertainment United States of America
As Cool as I Am, Comedy Drama Max Mayer Identity Films Wind Dancer Productions United States of America
White Fang,Zanna Bianca Collection Western Adventure Family Lucio Fulci Les Productions Fox Europa Oceania Produzioni Internazionali Cinematografiche In-Cine Compañía Industrial Cinematográfica France Italy Spain
The Dungeon Masters, Documentary Keven McAlester  
At Berkeley, Documentary Frederick Wiseman  
The Square, Documentary Drama History Jehane Noujaim Roast Beef Productions Worldview Entertainment Noujaim Films United Kingdom United States of America Egypt
Intern Academy, Comedy Dave Thomas Minds Eye Entertainment Studio Entertainment Entersport Holdings Maple & Palm Productions Canada
A Single Shot, Drama Crime Thriller David M. Rosenthal Unified Pictures Bron Studios Demarest Films Unanimous Pictures United Kingdom United States of America Canada
Το Ξύλο Βγήκε Από Τον Παράδεισο, Comedy Alekos Sakellarios Finos Film Greece
Zincirbozan,  Atıl Inaç  Turkey
Beyond the Law, Western Giorgio Stegani Roxy Film Sancrosiap Germany Italy Monaco
Better Living Through Chemistry, Drama Comedy Geoff Moore David Posamentier Aegis Film Fund Altus Productions Ealing Metro International Occupant Entertainment United Kingdom United States of America
William Kunstler Disturbing the Universe, Documentary Emily Kunstler Sarah Kunstler Off Center Media United States of America
Informant, Drama Comedy Thriller Documentary Jamie Meltzer  
Wrinkles, Animation Drama Comedy Ignacio Ferreras Cromosoma TV produccions Elephant in the Black Box Perro Verde Films Spain
In Fear, Thriller Jeremy Lovering Big Talk Productions Film4 Anton Capital Entertainment (ACE) United Kingdom
Bad Country, Drama Action Crime Chris Brinker Mandalay Vision ANA Media CB Productions Wilmor Entertainment United States of America
Special Correspondents, Comedy Frédéric Auburtin Les Films Manuel Munz EuropaCorp. France
Meth,  Todd Ahlberg  United States of America
My Mom Is a Character,My Mom is a Character Collection Comedy André Pellenz Globo Filmes Paris Filmes Migdal Filmes Telecine Productions Cenoura Filmes Brazil
Policewomen, Drama Action Crime Lee Frost Saber Productions United States of America
Boca, Action Crime Drama Flávio Frederico  Brazil
O. Henry's Full House, Comedy Drama Henry Hathaway Howard Hawks Henry King Henry Koster Jean Negulesco Twentieth Century Fox Film Corporation United States of America
Lovin' Molly, Romance Drama Sidney Lumet Columbia Pictures Corporation 
Heaven is for Real, Drama Randall Wallace TriStar Pictures Screen Gems Roth Films United States of America
Mondo Hollywood, Documentary Robert Carl Cohen Omega-Cyrano Productions United States of America
Le Week-End, Comedy Drama Roger Michell Le Bureau Film4 Free Range Films France United Kingdom
All About the Feathers, Comedy Neto Villalobos Sucia Centroamericana Producciones Costa Rica
Broadway Rhythm, Family Music Roy Del Ruth Metro-Goldwyn-Mayer (MGM) United States of America
The Rocket, Drama Kim Mordaunt Red Lamp Films Australia Lao People's Democratic Republic Thailand
Ambushed, Action Crime Drama Giorgio Serafini Hollywood Media Bridge Anchor Bay Films Voltage pictures Creamovies Picture Perfect Corp. United States of America
Bettie Page Reveals All, Documentary Mark Mori Single Spark Pictures Music Box Films United States of America
Brooklyn Dodgers: The Ghosts of Flatbush,    
Coming Home, Drama Zhang Yimou LeVision Pictures China
Ju-on: The Beginning of the End,Ju-on Collection Horror Masayuki Ochiai  Japan
Video Games: The Movie, History Documentary Animation Jeremy Snead Mediajuice Studios United States of America
Abby, Horror William Girdler  
Ambush, Action Adventure Foreign Ho Meng-Hua Shaw Brothers 
My way to Olympia, Documentary Niko von Glasow  Germany
Angry Video Game Nerd: The Movie, Science Fiction Adventure Comedy James D. Rolfe Kevin Finn Cinemassacre United States of America
House of Women, Crime Drama Walter Doniger Warner Bros. United States of America
White Bird in a Blizzard, Thriller Drama Gregg Araki Why Not Productions Wild Bunch Desperate Pictures Orange Studios United States of America France
"Park Avenue: Money, Power & The American Dream", Documentary Alex Gibney Jigsaw Productions Steps International 
Junkopia,  Chris Marker Frank Simeone John Chapman Argos Films France
Dracula Untold, Horror Action Drama Fantasy War Gary Shore Universal Pictures Legendary Pictures Fuji Television Network Dentsu Michael De Luca Productions United States of America
What We Do in the Shadows, Comedy Horror Taika Waititi Jemaine Clement Unison Films Defender Films Funny or Die New Zealand
Amazon Jack 3: Jungo Goes Bananas,Jungledyret Hugo Collection Animation Comedy Family Flemming Quist Møller Jørgen Lerdam  
The Swan Princess: The Mystery of the Enchanted Kingdom,Swan Princess Series Fantasy Animation Family Richard Rich NEST Family Entertainment United States of America
A Star for Two, Romance Drama Jim Kaufman  Canada France
Charlotte's Web 2: Wilbur's Great Adventure,Charlotte's Web Collection Adventure Animation Drama Family Mario Piluso Paramount Pictures Universal Pictures Nickelodeon Network Paramount Animation United States of America
Wyatt Earp's Revenge, Drama Action Adventure Michael Feifer  United States of America
Foxcatcher, Drama Thriller Bennett Miller Likely Story Media Rights Capital Annapurna Pictures United States of America
Personal Property, Comedy Romance W.S. Van Dyke  United States of America
Sniper: Legacy,Sniper Collection Thriller Action Don Michael Paul Destination Films BUFO United States of America
Curandero, Horror Eduardo Rodríguez Dimension Films United States of America Mexico
Air Raid Wardens, Comedy Family Edward Sedgwick Metro-Goldwyn-Mayer (MGM) United States of America
Building the Inferno: Nobuo Nakagawa and the Making of 'Jigoku', Documentary   United States of America
The Dark Past, Drama Thriller Crime Rudolph Maté Columbia Pictures Corporation United States of America
Stromberg - Der Film, Comedy Arne Feldhusen Filmstiftung NRW FFA Filmförderungsanstalt Deutsche Filmförderfonds (DFFF) Germany
7eventy 5ive, Horror Thriller Brian Hooks Deon Taylor Hooks and Taylor Entertainment United States of America
Deadline, Documentary Kirsten Johnson Katy Chevigny  
Babysitting,Babysitting Comedy Philippe Lacheau Nicolas Benamou Universal Pictures International (UPI) Axel Films Cinéfrance 1888 La Banque Postale Image 7 Good Lap Production Madame Films France
Lucky Them, Drama Megan Griffiths  United States of America
Ragnarok, Action Adventure Mikkel Brænne Sandemose Fantefilm Film i Väst Ghost VFX Norway
Alien Nation: Millennium,Alien Nation Collection Science Fiction Kenneth Johnson 20th Century Fox Television National Studios Inc. United States of America
The Wall, Action Crime Drama Yash Chopra Trimurti Films Pvt. Ltd. India
Drive Thru, Comedy Horror Brendan Cowles Shane Kuhn Lions Gate Films United States of America
The Fearmakers, Drama Action Thriller Jacques Tourneur Pacemaker United States of America
The Voices, Comedy Crime Horror Thriller Marjane Satrapi Studio Babelsberg Mandalay Vision 1984 Private Defense Contractors Germany United States of America
Tenchi: The Samurai Astronomer, Drama History Yojiro Takita Kadokawa Pictures Japan
Travel Beyond the Three Seas, Adventure History Vasili Pronin Khwaja Ahmad Abbas Mosfilm Naya Sansar Soviet Union India
The Devil and Holy Water,  Bruno Corbucci  Italy
Independents, Documentary Chris Brandt  
Alive or Preferably Dead, Action Comedy Western Duccio Tessari Hesperia Films S.A. Ultra Film - Sicila Cinematografica Italy Spain
Action Jackson, Action Comedy Drama Romance Thriller Prabhu Deva Eros International Austria India
Scooby-Doo! and the Witch's Ghost, Animation Comedy Jim Stenstrum Hanna-Barbera Productions United States of America
The Nativity, Drama History Family Bernard L. Kowalski 20th Century Fox Television D'Angelo-Bullock-Allen Productions United States of America
Bad Karma, Horror Alex Chandon  United Kingdom
Demon Hunter, Horror Scott Ziehl  United States of America
Everyday Sunshine:  The Story of Fishbone, Documentary Music Chris Metzler Lev Anderson  
The 7th Floor, Thriller Patxi Amézcua Telecinco Cinema Ikiru Films El Toro Productions Spain Argentina
Exit Smiling, Comedy Sam Taylor Metro-Goldwyn-Mayer (MGM) United States of America
Crazy for Christmas, Drama Romance Eleanor Lindo  Canada
Jauja, Western Drama Lisandro Alonso Mantarraya Producciones Les films du Worso Massive 4L Kamoli Films Argentina Netherlands Denmark France Mexico United States of America Germany Brazil
Frank & Jesse, Action Adventure Drama Western Robert Boris Trimark Pictures United States of America
Zenobia, Comedy Gordon Douglas Hal Roach Studios United States of America
Blackhat, Crime Drama Mystery Michael Mann Universal Pictures Forward Pass Legendary Pictures United States of America
